model_id,units,dropout,num_layers,bidirectional,lr,batch_size,epochs,patience,test_mae,test_mse
271,128,0.2,2,True,1e-05,128,25,25,2.0355777740478516,0.055059127509593964
272,128,0.2,2,True,0.0001,64,25,25,0.19256174564361572,0.04830742999911308
273,128,0.2,2,True,0.0001,128,25,25,0.17049124836921692,0.03574756905436516
274,128,0.2,2,True,0.001,64,25,25,0.14757505059242249,0.03302178159356117
275,128,0.2,2,True,0.001,128,25,25,0.14218708872795105,0.034067243337631226
276,128,0.2,3,False,1e-05,64,25,25,2.449601411819458,0.07239803671836853
277,128,0.2,3,False,1e-05,128,25,25,2.454840660095215,0.06912759691476822
278,128,0.2,3,False,0.0001,64,25,25,0.16041052341461182,0.03314598277211189
279,128,0.2,3,False,0.0001,128,25,25,0.15937396883964539,0.030868953093886375
280,128,0.2,3,False,0.001,64,25,25,0.21615706384181976,0.07699011266231537
281,128,0.2,3,False,0.001,128,25,25,0.23346224427223206,0.08956046402454376
282,128,0.2,3,True,1e-05,64,25,25,3.1276867389678955,0.06564321368932724
283,128,0.2,3,True,1e-05,128,25,25,3.112243890762329,0.06189604103565216
284,128,0.2,3,True,0.0001,64,25,25,0.17064286768436432,0.03514516353607178
285,128,0.2,3,True,0.0001,128,25,25,0.16829799115657806,0.03421591967344284
286,128,0.2,3,True,0.001,64,25,25,0.13563813269138336,0.026247382164001465
287,128,0.2,3,True,0.001,128,25,25,0.13183800876140594,0.02511991746723652
288,128,0.3,1,False,1e-05,64,25,25,0.484689861536026,0.26508602499961853
289,128,0.3,1,False,1e-05,128,25,25,0.6207676529884338,0.49114102125167847
290,128,0.3,1,False,0.0001,64,25,25,0.2641105651855469,0.11514650285243988
291,128,0.3,1,False,0.0001,128,25,25,0.21925829350948334,0.08109304308891296
292,128,0.3,1,False,0.001,64,25,25,0.4622882902622223,0.40384170413017273
293,128,0.3,1,False,0.001,128,25,25,0.5445460081100464,0.5821584463119507
294,128,0.3,1,True,1e-05,64,25,25,0.5152477622032166,0.24670886993408203
295,128,0.3,1,True,1e-05,128,25,25,0.40035349130630493,0.1790381669998169
296,128,0.3,1,True,0.0001,64,25,25,0.21942956745624542,0.07067367434501648
297,128,0.3,1,True,0.0001,128,25,25,0.16286130249500275,0.038499556481838226
298,128,0.3,1,True,0.001,64,25,25,0.3557925522327423,0.22628754377365112
299,128,0.3,1,True,0.001,128,25,25,0.4080657958984375,0.3117891848087311
300,128,0.3,2,False,1e-05,64,25,25,1.417457938194275,0.08307457715272903
