cycle_index,True SOC,SOC cell,Pred. SOC
61,0.336618538,0.288701852,0.42167255
61,0.33612548,0.287673895,0.42141998
61,0.335879043,0.288203176,0.42104316
61,0.335632432,0.287549442,0.42062408
61,0.335385824,0.286989803,0.4202583
61,0.335139219,0.286834463,0.42000735
61,0.334892616,0.287176277,0.4199525
61,0.334646016,0.286803401,0.4200679
61,0.334399418,0.286586024,0.42039043
61,0.334152823,0.287238451,0.42089936
61,0.33390623,0.286648122,0.42715567
61,0.336372096,0.288390119,0.42723107
61,0.401219557,0.346058122,0.42473885
61,0.452490203,0.392955881,0.42252338
61,0.401705669,0.346917733,0.42103848
61,0.468113666,0.407608731,0.42051977
61,0.467873647,0.407608731,0.42057067
61,0.467633453,0.406875601,0.42087296
61,0.467393438,0.406875601,0.4211708
61,0.467153249,0.407095497,0.42130584
61,0.46691324,0.407608731,0.42123407
61,0.466673232,0.406912248,0.42097527
61,0.466433051,0.405959773,0.42059204
61,0.466193048,0.406106262,0.42017883
61,0.465953049,0.406509192,0.41980854
61,0.465712874,0.405630235,0.41958252
61,0.465472702,0.405483801,0.41949916
61,0.465232532,0.404386082,0.41962123
61,0.464992542,0.404825055,0.41995454
61,0.4647522,0.404678714,0.42047054
61,0.464512215,0.404678714,0.42701828
61,0.464271878,0.404056952,0.42706436
61,0.464031721,0.404203221,0.424514
61,0.463791743,0.403947261,0.42232072
61,0.463551413,0.403618246,0.42082715
61,0.463311263,0.403472045,0.42026734
61,0.468353688,0.407608731,0.4203176
61,0.463071115,0.403216235,0.42062443
61,0.468593712,0.408892695,0.4209143
61,0.469073768,0.409590226,0.42104626
61,0.474111217,0.413672467,0.42097056
61,0.473871314,0.413414672,0.42070767
61,0.473631591,0.413709299,0.42033255
61,0.47339187,0.412936034,0.41991657
61,0.473151975,0.41271518,0.41957253
61,0.472912081,0.412126408,0.41931856
61,0.472672191,0.412678375,0.4192416
61,0.472432302,0.412383965,0.4193734
61,0.472192594,0.412310372,0.41971198
61,0.47195271,0.411942468,0.420233
61,0.471713007,0.411280488,0.4267522
61,0.471473128,0.411243721,0.42671525
61,0.471233252,0.410802591,0.4241786
61,0.470993201,0.41003096,0.42197365
61,0.470753507,0.409333199,0.4204322
61,0.470513461,0.409737121,0.41986656
61,0.470273595,0.410067694,0.41991818
61,0.470033553,0.409884033,0.4202152
61,0.469793515,0.409737121,0.42050076
61,0.469553656,0.40940663,0.4206276
61,0.469313622,0.409149638,0.42054647
61,0.468833739,0.409039513,0.42029005
61,0.462830793,0.403727908,0.41991028
61,0.462590473,0.403472045,0.41951865
61,0.462350155,0.402887413,0.4191448
61,0.455858783,0.396874758,0.4188956
61,0.455618356,0.39662035,0.41882718
61,0.455377755,0.39542175,0.41896367
61,0.455137157,0.397165579,0.41930747
61,0.45489656,0.396184351,0.41982728
61,0.454655967,0.395167662,0.4271758
61,0.454415376,0.395349147,0.42722595
61,0.454174787,0.395167662,0.42471415
61,0.453934201,0.394695936,0.4224925
61,0.453693617,0.394115619,0.4209743
61,0.453453035,0.393898076,0.42042932
61,0.453212279,0.39462338,0.420484
61,0.452971703,0.393716824,0.42078623
61,0.452730951,0.392738564,0.42107546
61,0.452249633,0.39317324,0.42120636
61,0.45200889,0.39302833,0.4211424
61,0.451768148,0.39259371,0.420893
61,0.451527409,0.39190591,0.42054966
61,0.451286673,0.392448875,0.42013958
61,0.451045761,0.392050675,0.41978005
61,0.45080503,0.39197829,0.4195461
61,0.456099388,0.397165579,0.41948554
61,0.456339997,0.397383743,0.41962624
61,0.456580608,0.396765719,0.419963
61,0.456821044,0.396802064,0.42048103
61,0.462110017,0.401755475,0.42679214
61,0.461869704,0.401718978,0.4267916
61,0.461629394,0.401682482,0.42422327
61,0.461389086,0.401390556,0.4219902
61,0.461148781,0.401645988,0.42046097
61,0.460908478,0.401062222,0.41989827
61,0.460668177,0.400515197,0.41994417
61,0.460427879,0.400624583,0.42023927
61,0.460187406,0.400551658,0.42052227
61,0.459947113,0.40004131,0.42065918
61,0.474350767,0.413414672,0.42058972
61,0.459706645,0.399021264,0.4203632
61,0.459225717,0.400114203,0.41998762
61,0.458985256,0.40004131,0.41957897
61,0.458744798,0.399239772,0.419224
61,0.458504342,0.399494748,0.41899055
61,0.458264066,0.398948437,0.418931
61,0.458023616,0.398074863,0.41906655
